Date,Flow_number,Sample_name,Singlets_median,Recomb_count,Recomb_geomean,Recomb_median,recombined_construct,Cells,Replicate,Fold_consensus,Include
250916,F373,293T_LP_091625_intz_BC2_1B_011.fcs,27279.64453,69153,27356.78711,27938.59766,1B,LLPc2,R2,0.7390993079,
250916,F373,293T_LP_091625_intz_BC2_1M_012.fcs,862.088501,18167,932.071106,897.102661,1M,LLPc2,R2,0.02373232773,
250916,F373,293T_LP_091625_intz_BC2_2HL_013.fcs,1767.46875,40813,2092.486084,1845.755859,2HL,LLPc2,R2,0.04882839484,
250918,F374,293T_LP_091825_intz_BC2_G790_001.fcs,41724.50391,80712,41201.07422,42404.24219,G790,LLPc2,R3,1,
250918,F374,293T_LP_091825_intz_BC2_G1102_002.fcs,9072.47168,65009,8932.501953,9232.683594,G1102,LLPc2,R3,0.2177301873,
250918,F374,293T_LP_091825_intz_BC2_G1106_003.fcs,4077.967773,79232,4422.645508,4125.071777,G1106,LLPc2,R3,0.09727969571,
250918,F374,293T_LP_091825_intz_BC2_Unrecombined_007.fcs,97.78965,7,964.681274,966.54425,None,LLPc2,R3,0.002306128938,
250918,F374,293T_LP_091825_intz_BC2_1B_004.fcs,30733.87695,82888,30561.92188,31230.29688,1B,LLPc2,R3,0.7364899186,
250918,F374,293T_LP_091825_intz_BC2_1M_005.fcs,853.7276,77398,892.331238,867.85553,1M,LLPc2,R3,0.02046624312,
250918,F374,293T_LP_091825_intz_BC2_2HL_006.fcs,1840.349854,72809,2104.69458,1903.362183,2HL,LLPc2,R3,0.04488612659,
250925,F375,293T_LP_092525_iCasp9c12_G790_001.fcs,21614.37109,140836,23551.91602,24978.27344,G790,LLPc12,R2,1,
250925,F375,293T_LP_092525_iCasp9c12_G1102_002.fcs,10018.72949,45604,6434.166016,7748.054688,G1102,LLPc12,R2,0.3101917635,
250925,F375,293T_LP_092525_iCasp9c12_G1106_003.fcs,4691.504395,51659,3660.495117,3769.152588,G1106,LLPc12,R2,0.1508972426,
250925,F375,293T_LP_092525_iCasp9c12_Unrecombined_007.fcs,115.744415,17,3380.790283,3670.827637,None,LLPc12,R2,0.004633803665,
250925,F375,293T_LP_092525_iCasp9c12_1B_004.fcs,6659.677734,81102,14022.41602,17165.2832,1B,LLPc12,R2,0.6872085551,
250925,F375,293T_LP_092525_iCasp9c12_1M_005.fcs,685.49823,80421,923.930359,789.286133,1M,LLPc12,R2,0.03159890674,
250925,F375,293T_LP_092525_iCasp9c12_2HL_006.fcs,2466.063965,84400,3529.3479,2318.67334,2HL,LLPc12,R2,0.09282760658,
250929,F376,293T_LP_092925_NS_G542AC3_G790_001.fcs,25763.01367,91.142064,24145.66992,26892.01758,G790,SLP_10pct,R1,1,
250929,F376,293T_LP_092925_NS_G542AC3_G1102_002.fcs,4594.432617,79.346568,4580.394531,4642.684082,G1102,SLP_10pct,R1,0.1726417168,
250929,F376,293T_LP_092925_NS_G542AC3_G1106_003.fcs,2079.516113,85.273442,2289.059326,2270.27417,G1106,SLP_10pct,R1,0.08442186099,
250929,F376,293T_LP_092925_NS_G542AC3_1B_004.fcs,17904.07813,86.094593,17964.51367,19483.58789,1B,SLP_10pct,R1,0.7245119423,
250929,F376,293T_LP_092925_NS_G542AC3_1M_005.fcs,448.331024,70.416741,499.311432,465.449463,1M,SLP_10pct,R1,0.01730809009,
250929,F376,293T_LP_092925_NS_G542AC3_2HL_006.fcs,1138.481323,82.585291,1213.556274,1183.408203,2HL,SLP_10pct,R1,0.04400592851,
250929,F376,293T_LP_092925_NS_G542AC3_05serum_G790_001.fcs,13637.69727,93021,12971.46582,14449.27148,G790,SLP_0.5pct,R1,1,
250929,F376,293T_LP_092925_NS_G542AC3_05serum_G1102_002.fcs,2127.537842,83169,2230.219482,2323.12915,G1102,SLP_0.5pct,R1,0.1607782893,
250929,F376,293T_LP_092925_NS_G542AC3_05serum_G1106_003.fcs,902.710022,85110,1067.39978,963.9328,G1106,SLP_0.5pct,R1,0.06671151562,
250929,F376,293T_LP_092925_NS_G542AC3_05serum_1B_004.fcs,7204.94873,77800,7206.131348,7938.919434,1B,SLP_0.5pct,R1,0.5494338898,
250929,F376,293T_LP_092925_NS_G542AC3_05serum_1M_005.fcs,337.296112,74633,414.366486,355.01474,1M,SLP_0.5pct,R1,0.02456973284,
250929,F376,293T_LP_092925_NS_G542AC3_05serum_2HL_006.fcs,583.484314,72735,720.514832,628.230652,2HL,SLP_0.5pct,R1,0.04347836172,
250929,F376,293T_LP_092925_NS_G542AC3_02serum_G790_001.fcs,13023.31738,108512,13445.61231,14282.95117,G790,SLP_0.2pct,R1,1,
250929,F376,293T_LP_092925_NS_G542AC3_02serum_G1102_002.fcs,2139.72998,92445,2420.243408,2504.513672,G1102,SLP_0.2pct,R1,0.1753498729,
250929,F376,293T_LP_092925_NS_G542AC3_02serum_G1106_003.fcs,950.313538,92568,1281.728271,1206.411865,G1106,SLP_0.2pct,R1,0.08446516764,
250929,F376,293T_LP_092925_NS_G542AC3_02serum_1B_004.fcs,7938.919434,86005,9233.091797,9707.226562,1B,SLP_0.2pct,R1,0.6796373135,
250929,F376,293T_LP_092925_NS_G542AC3_02serum_1M_005.fcs,333.222839,83414,455.476929,397.746674,1M,SLP_0.2pct,R1,0.02784765342,
250929,F376,293T_LP_092925_NS_G542AC3_02serum_2HL_006.fcs,615.769531,122521,838.02948,753.337646,2HL,SLP_0.2pct,R1,0.05274383683,
251001,F377,293T_LP_100125_iCasp9c12_G790_001.fcs,12815.29883,73017,12994.80664,14216.99219,G790,LLPc12,R3,1,
