"RL1-A","YL2-A"
12570,2798
30356,3864
70458,4910
16381,985
26521,3173
14849,1450
62972,2699
14394,2094
16973,2143
70799,5374
33729,3579
58004,8085
59029,5397
19449,5665
45555,4217
24964,1997
51741,5926
3021,896
38250,4557
49925,4853
47780,8219
27916,2415
31550,4093
21032,3069
16934,1855
10950,1010
57846,16156
26465,3938
16022,2568
46696,2834
13932,1306
34814,4331
52262,4641
23350,1024
61812,10574
11537,2337
35548,3413
40135,3717
18668,4791
53866,9625
56331,12148
75143,13880
36785,14909
16846,2301
10327,1570
53225,11731
78993,13274
12327,586
11319,1742
28105,5838
28381,6611
28086,1546
27455,9980
27263,10139
30062,3651
28880,3609
26676,1423
25306,5111
58676,20545
13382,1120
29235,2976
98254,8703
11755,710
40886,2992
23197,3341
30228,5752
19552,2459
6415,597
33412,2125
9364,525
24024,24990
15974,3716
27400,5883
17299,1581
6014,876
53486,11939
5225,424
9745,846
37389,10447
49479,13036
20861,3332
22243,4444
29110,12258
30892,4514
8874,699
44964,2490
39102,5993
14354,1554
10000,1090
45501,9308
24528,4368
12846,2334
51271,6838
16241,2006
17375,605
39376,6619
38581,3669
20043,2268
30668,4148
56971,9156
7893,877
32765,2495
7756,891
23289,1960
42438,2932
12293,1341
23787,2477
68814,11323
39926,8039
31354,1548
23739,6084
9398,1355
46820,4772
2701,2148
37694,11542
45564,2895
61069,7890
30964,4485
43869,2423
26301,4237
101315,9739
4207,963
64242,5543
27094,7493
32659,3242
10453,789
37711,3641
37575,8309
32291,12500
54647,11477
6474,773
71856,20113
49065,17109
22182,5896
42371,5488
31529,6813
10132,1249
57462,10474
66910,13166
30336,2945
25414,2088
30899,4144
46371,2327
18562,1234
58030,16761
67364,8335
31461,6914
9349,1039
22959,2407
53501,11238
25320,3382
30312,832
67924,11035
74306,14980
30367,3337
16763,1606
54506,16825
12275,2074
29262,1807
41003,8351
18029,1568
85811,7367
19196,3198
48770,5501
12032,1425
23948,2805
45249,4808
17401,3997
20047,1717
11466,654
14296,11325
28524,2933
27804,450
38979,9638
26709,4133
23981,3261
58660,5405
27064,2187
27844,3974
36476,4137
9860,1613
50749,7897
41020,9706
24075,4144
45018,3213
20699,2507
49386,9165
10864,832
50174,2724
37399,3231
15104,3109
7576,656
50981,9061
14798,1837
63651,7147
23627,5086
41764,8681
16611,5011
48438,7875
13721,1132
59923,12827
71715,14150
17968,1572
53061,12733
37583,3136
34607,3470
8590,1206
48639,8639
26074,1785
35628,6193
8240,1097
34487,1204
61544,7253
9725,938
10457,2639
84717,12815
52460,5501
14619,2181
17051,1127
8554,540
13323,538
37063,3955
51320,5163
59108,3831
20358,4883
24457,3236
109508,10716
24832,3550
30864,5879
58318,19020
21052,1748
34614,3948
25269,1485
18133,4249
31548,5333
34492,5828
40004,3928
21917,5390
13624,1017
8741,564
25055,1732
46239,19366
40275,4651
38610,6491
19004,2894
38444,6562
20665,2281
20051,2533
37749,3948
18357,1087
31255,945
29383,3966
12438,910
54475,8818
16127,1159
19768,839
23526,5052
5478,1288
58806,10496
41881,8091
9693,1061
18626,4041
23215,2019
16002,1114
25574,1137
48471,14557
43717,4602
16308,1229
20200,3826
18607,1945
24084,2905
38740,7532
43400,8346
10971,1171
12634,5852
9830,733
34767,1993
9682,474
21214,4693
22893,1761
28523,1864
46702,19488
32653,5033
30006,6786
19908,2244
9779,581
23684,10473
33042,2880
25843,2454
7012,660
5198,426
52076,11673
21635,1778
64985,4192
12579,1803
55546,7875
28466,2604
21299,1281
23120,1620
11835,1524
23397,4639
51821,5156
28680,1849
23428,1345
26983,7765
24212,1031
29194,2541
44338,8319
58200,15203
32296,3893
18728,3762
12747,1546
56316,4467
8845,592
35952,5142
41587,5322
24045,2437
22508,3896
9059,994
18281,4468
21240,4763
18313,2983
9873,634
7548,1169
12074,1049
35381,3941
32918,2162
39737,7794
24148,4692
21157,3135
17704,1350
35056,1301
16781,1727
39457,8834
21579,3230
28501,3258
6101,638
54300,10879
35068,4609
16461,1935
66759,2863
71122,4907
137421,46111
21275,3403
36545,4044
17803,1718
30080,9265
19944,1978
55164,10003
82777,12001
14788,2851
42099,7892
64682,7325
45453,3868
9505,1898
32989,2832
53519,5494
28137,6702
23909,2332
9913,1336
28483,10494
37008,3652
65434,26573
47204,4156
21996,2831
13834,831
56753,5371
19050,3860
32290,6029
39622,2928
25860,5727
53201,4998
32715,5824
13686,931
66406,16613
20296,1166
52118,12974
20337,1604
19978,3537
27760,2063
51305,8666
55316,5345
25486,3300
13332,1322
48218,2637
3238,737
50698,9482
58640,10414
23649,3238
97187,7354
18198,2974
19090,2736
56155,9445
22971,1222
50615,6876
10449,1491
32114,20495
20988,1151
29638,6427
51581,9491
7802,737
19743,530
23063,3411
17341,1353
26578,5771
132697,21350
52630,13418
9718,973
19190,4814
28691,2297
54397,9044
27377,4513
34662,4359
15913,2528
25296,6603
16792,1463
35073,5820
16079,1234
49926,7895
57752,11192
13994,1862
12071,1708
29662,3857
36687,3607
64482,9021
23854,2488
36326,2416
22458,1759
30083,4392
9683,1036
33030,5586
17330,2771
26012,3382
37750,3296
34367,4808
14439,2288
42848,4586
24758,1827
19349,1722
45319,6691
11779,1425
72979,17518
32804,2988
47274,14949
16036,2502
52507,7672
10856,522
3378,393
22106,4792
89488,30272
52630,9572
30733,5317
70365,16755
65072,15140
47414,14379
43303,6698
19618,2004
14261,446
23790,2300
24503,1397
50905,6437
17110,1253
21885,4176
6285,662
50704,10050
7366,1366
70513,11791
32917,3070
20816,636
20268,2965
30638,1797
28511,2281
62525,9553
14002,974
18454,2594
14742,2404
12210,592
37334,10556
7557,651
19251,1911
18024,1122
21762,877
18509,1631
67305,18392
27644,2321
28915,5552
15129,1014
20875,2994
69850,9450
23387,2466
19171,2036
8581,739
17290,1449
29991,2618
24865,2360
32147,3721
15284,1746
51845,3975
14093,2036
5697,444
54855,8871
45118,8960
8195,410
25719,4416
16288,1675
29694,4402
100510,11671
17539,1589
14735,4686
17139,2921
45881,14248
16970,877
16652,526
42063,11942
28226,3641
46083,8191
16545,2362
21152,2918
11386,617
38245,3682
13322,1233
30205,8571
28154,6247
18637,1159
5030,530
46164,3377
17351,2789
31633,3540
35453,2859
34809,9697
18417,1843
46725,17334
66535,13473
22410,2550
15399,2937
18551,382
31682,3901
