"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
579314,279323,134,320185,186766,127,76,84,0,2258,1070,12,1999,773,0,292,175,0,25972,16968,81,0.00994069
564979,311992,120,214520,131483,115,-33,47,0,515,270,0,477,211,0,123,87,0,4809,3747,40,0.00994069
408864,237932,117,275766,183123,114,159,111,0,485,224,0,281,168,0,260,111,0,3304,2363,35,0.150104
315825,207219,106,184832,134705,103,64,82,0,494,299,0,429,215,0,172,123,0,4998,3878,40,0.174956
478657,279215,119,184675,117614,110,26,55,0,319,176,0,434,171,0,46,76,0,5510,3934,44,0.176944
400229,227962,119,172113,111648,108,107,57,0,140,179,0,178,111,0,236,110,0,7280,5256,48,0.192849
431198,252461,126,315155,195865,130,138,73,0,1326,640,0,1120,489,0,76,80,0,22187,17149,76,0.237583
450793,274784,121,121585,79678,111,-73,32,0,1153,666,0,770,482,0,110,83,0,15250,12602,60,0.285298
412195,275872,113,121853,84446,108,83,65,0,478,268,0,368,273,0,109,70,0,6777,5329,44,0.332019
504104,277021,129,222642,130613,120,5,52,0,696,274,0,738,396,0,125,60,0,10913,8040,54,0.407568
489901,286824,119,367560,227212,121,74,89,0,954,463,0,731,370,0,73,79,0,18939,13607,69,0.411545
506676,276167,126,200162,124329,119,107,79,0,211,141,0,214,159,0,88,67,0,919,625,0,0.421485
295252,126997,142,173650,70982,140,29,64,0,1020,359,0,898,334,0,82,64,0,4139,3788,36,0.443355
524578,283588,125,129318,85153,117,34,68,0,1062,556,0,823,412,0,126,85,0,17335,13205,61,0.481129
460648,252383,125,214332,112251,125,91,75,0,810,323,0,741,375,0,158,86,0,8609,6968,47,0.482123
590518,304773,128,143712,86267,120,-29,90,0,425,181,0,387,187,0,161,136,0,4771,3238,44,0.580536
372263,186242,127,292179,164644,129,17,43,0,366,156,0,513,223,0,61,71,0,1843,1309,20,0.586501
661192,305172,136,346003,186454,133,73,60,0,848,312,0,735,279,0,200,125,0,18843,11295,74,0.589483
598358,278517,134,243945,127462,126,65,45,0,1633,665,0,1623,653,0,149,96,0,27325,19888,86,0.597435
621245,297263,136,352101,177112,130,123,103,0,2674,1213,21,2385,1141,14,195,113,0,14958,8924,69,0.600418
546092,298539,114,219769,129721,108,145,87,0,1227,642,0,1103,495,0,203,104,0,31295,22795,98,0.632228
331345,217572,112,240987,184234,103,215,163,0,1734,1275,19,1400,1127,13,116,151,0,38077,30200,112,0.707777
499101,281534,124,150904,98552,113,88,81,0,185,139,0,278,120,0,50,78,0,794,645,0,0.7207
538189,293846,128,232580,145919,118,31,50,0,540,203,0,582,278,0,80,95,0,6796,4708,51,0.722688
501338,268065,125,203197,129764,115,-20,65,0,1239,608,0,824,448,0,49,59,0,15400,11516,64,0.726664
524442,293165,128,188795,119876,120,84,84,0,294,141,0,267,164,0,46,63,0,1146,942,0,0.755492
610274,283525,130,436745,232823,133,470,316,0,633,273,0,484,261,0,232,134,0,1025,593,0,0.758475
554487,264061,131,279181,149784,124,91,69,0,1442,558,0,1384,592,0,299,121,0,17016,12089,66,0.758475
631059,289446,131,288180,143435,126,121,61,0,907,364,0,737,280,0,189,100,0,7651,5091,50,0.769409
524777,306904,125,196586,122994,117,66,63,0,372,210,0,310,187,0,21,75,0,2547,1995,26,0.776368
556760,253483,137,465438,228240,136,146,123,0,1934,1164,15,1929,1248,15,222,118,0,6302,3954,50,0.81116
379160,245985,117,160670,108167,107,92,77,0,305,158,0,292,206,0,61,64,0,7794,6245,48,0.818119
554815,267048,132,238864,127101,123,162,96,0,2130,949,0,1862,870,0,140,98,0,65933,39380,101,0.824083
298009,197073,110,81981,46509,106,-77,37,0,644,352,0,527,336,0,40,76,0,36552,26598,103,0.867822
249345,146671,111,146303,74748,107,2,90,0,741,572,0,579,453,0,93,62,0,20406,16393,62,0.867822
371099,235085,100,154388,112811,99,98,82,0,877,504,0,855,546,0,73,50,0,16078,12785,57,0.929455
532060,288684,120,189608,120938,113,-22,59,0,432,231,0,396,196,0,117,77,0,12784,8568,60,0.936413
593295,321225,129,237239,134669,122,97,124,0,1614,771,0,1768,803,0,59,69,0,16648,12551,64,0.948342
466958,251535,119,214235,111937,111,85,50,0,938,370,0,919,431,0,63,84,0,16282,11891,64,0.967229
314128,224762,110,185397,134595,109,13,94,0,696,446,0,635,385,0,22,96,0,7203,5938,44,0.97717
568110,289686,134,209915,116167,123,38,57,0,896,421,0,875,332,0,80,72,0,8786,6070,53,1.00699
280451,188002,112,100981,62109,102,-66,39,0,218,115,0,246,111,0,65,80,0,7091,5409,47,1.01296
544743,297315,129,202835,124456,118,156,108,0,807,351,0,719,408,0,259,119,0,20920,14987,71,1.0219
546871,275844,131,235990,141193,120,83,47,0,518,268,0,576,232,0,158,88,0,5852,4016,45,1.04974
806206,343307,148,489155,230589,140,110,89,0,1001,322,0,800,306,0,98,97,0,14119,8156,66,1.06167
521619,288310,126,226133,146580,115,46,61,0,471,268,0,501,228,0,179,128,0,8037,6202,46,1.13026
307783,185166,114,202082,132195,111,113,109,0,645,296,0,483,219,0,52,77,0,10100,8197,49,1.1392
417804,260986,108,199359,138466,107,-20,42,0,649,408,0,694,425,0,127,92,0,19632,15588,66,1.1402
561791,287318,127,262320,141646,124,47,44,0,1809,852,0,1381,668,0,178,106,0,17121,12088,63,1.14219
581557,312449,130,321166,179696,123,187,105,0,992,439,0,793,385,0,24,56,0,8602,5550,54,1.15113
524813,290610,128,174286,101237,121,-11,45,0,312,184,0,399,228,0,95,81,0,8203,6158,47,1.20779
458246,279866,122,259287,176862,114,70,97,0,314,174,0,310,161,0,203,93,0,2372,1614,29,1.21674
461356,239590,139,350764,206561,139,223,100,0,754,289,0,926,341,0,86,80,0,7420,5575,46,1.27241
440068,228588,124,256178,166376,114,130,115,0,241,152,0,392,225,0,148,82,0,7859,5383,49,1.27241
715512,341234,138,345079,185971,133,100,82,0,2701,1298,24,1951,1085,8,168,92,0,22433,16228,77,1.32609
523514,277376,146,262926,159702,146,93,88,0,724,280,0,520,191,0,132,93,0,4419,3008,36,1.32609
490881,292963,126,261257,158499,121,36,83,0,1307,733,0,967,495,0,130,91,0,69534,48802,87,1.32708
631273,293907,135,199778,103740,126,162,75,0,1347,567,0,844,464,0,155,99,0,27166,19364,95,1.34398
615277,291034,134,317675,170739,127,166,93,0,574,218,0,392,242,0,178,111,0,4609,2976,44,1.34498
334925,247178,105,244606,182191,107,140,117,0,608,390,0,541,290,0,18,70,0,3301,2570,32,1.36187
481808,261242,120,191125,109214,112,18,68,0,866,475,0,675,314,0,88,73,0,8894,7736,50,1.37778
524821,286326,113,178621,114598,108,-24,67,0,300,203,0,366,182,0,76,81,0,11130,8296,58,1.37778
255921,164656,109,145228,96989,103,8,52,0,236,171,0,281,137,0,50,78,0,4034,2884,41,1.40263
354011,239569,114,136054,93001,106,70,83,0,243,190,0,201,125,0,14,76,0,2979,2514,32,1.44637
444841,249934,123,254092,144564,127,45,71,0,1481,674,0,1385,562,0,144,144,0,35941,28655,90,1.48116
368820,234854,110,176566,115463,110,40,71,0,517,239,0,385,147,0,92,59,0,7648,5730,46,1.48912
521619,320484,123,242976,158052,117,-53,41,0,393,191,0,460,224,0,54,94,0,3073,2146,32,1.49011
816393,380857,146,430212,186496,141,203,99,0,1515,653,0,1364,538,0,130,82,0,14535,6729,76,1.4921
441316,263516,120,169587,107174,110,5,53,0,1124,613,0,870,463,0,74,63,0,21843,16204,70,1.51098
548161,310527,127,175196,108644,117,-75,28,0,482,216,0,355,148,0,132,106,0,4571,3411,41,1.51198
273598,177885,111,170865,117299,107,8,71,0,496,291,0,828,453,0,111,75,0,21855,17187,70,1.5418
254845,213481,102,102615,73059,102,127,91,0,211,124,0,123,104,0,94,87,0,3869,3181,34,1.58455
480821,246848,118,143611,84013,110,26,61,0,170,127,0,287,158,0,8,78,0,4628,3390,43,1.59647
435618,290111,116,103810,69695,105,105,92,0,352,185,0,243,117,0,123,87,0,3388,2721,33,1.62729
699337,329919,144,464247,222084,142,126,80,0,1843,854,0,1599,556,0,322,207,0,33741,25490,116,1.64419
571585,289121,133,339604,176768,126,129,106,0,109,83,0,388,207,0,30,61,0,2142,1640,22,1.65811
594974,333240,130,188922,115184,121,-12,50,0,1042,553,0,1167,450,0,129,99,0,26279,17301,82,1.66308
509332,313011,123,183734,113685,115,-5,38,0,707,281,0,687,298,0,154,111,0,16516,13126,63,1.68793
314505,234624,108,95098,79632,96,-13,43,0,320,277,0,253,166,0,32,71,0,4736,3612,39,1.70682
486116,283236,122,139895,96425,107,-56,33,0,953,495,0,723,424,0,105,63,0,40433,27500,102,1.71576
466378,284976,114,150245,92761,107,50,75,0,835,517,0,741,447,0,115,82,0,12703,10426,53,1.80523
