"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
434203,279828,106,176803,122594,101,35,82,0,15018,8987,55,13286,8553,50,212,117,0,740,3559,12,0.0746518
247725,114790,194,192786,80043,199,141,56,0,17185,14584,90,15114,13858,79,32,80,0,1340,3082,9,0.075766
366513,203436,109,168471,115105,104,59,57,0,26196,17462,66,23323,15477,63,242,160,0,-1154,0,0,0.075766
262127,188388,104,157835,110222,100,112,93,0,10138,7738,44,9683,7554,41,-6,42,0,2918,9896,16,0.0768802
417987,243466,117,243189,133367,114,78,59,0,34833,20358,108,30102,17631,84,138,167,0,4959,16701,19,0.0802228
367159,235713,112,158822,106714,104,96,90,0,9917,6174,48,9108,5911,47,60,56,0,1510,5210,14,0.081337
371810,215340,115,193517,120018,109,24,79,0,31370,19852,107,28268,18379,95,214,164,0,4071,10829,20,0.081337
181895,132113,93,88812,62294,90,61,68,0,561,385,0,395,309,0,45,86,0,148,1646,5,0.081337
184137,110434,94,183448,116870,97,209,136,0,24985,24053,82,23439,22688,70,125,86,0,30,1915,4,0.0824513
446119,238862,122,283671,143628,122,94,84,0,52447,27198,122,47719,24638,122,282,221,0,8938,15356,27,0.0824513
459390,241630,231,179748,58979,211,29,41,0,15337,7222,84,13688,6486,79,230,125,0,9190,8253,58,0.0835655
356108,242711,99,96631,65950,95,93,67,0,26254,16486,72,23590,14804,66,86,94,0,4453,11401,20,0.0857939
390986,223811,106,253769,146455,109,119,85,0,43329,23072,116,37780,20285,106,362,207,0,13654,21155,30,0.0857939
196871,142241,99,97102,71363,99,-23,39,0,1177,520,0,873,413,0,127,104,0,3397,6946,16,0.0857939
184215,156987,94,66379,53773,85,-36,52,0,5111,4642,34,4525,3965,33,-31,65,0,-72,63,0,0.0869081
414332,270476,113,153390,99153,104,3,34,0,36785,23207,111,32536,20705,97,224,213,0,14987,22792,30,0.0891365
227015,179972,99,82242,60350,99,10,50,0,13504,10466,46,12167,9607,46,32,94,0,470,236,0,0.0891365
