"FSC-A","RL1-A","YL2-A"
562195,27116,13553
547421,45631,24734
495586,32437,33119
594603,45494,20854
540292,26029,13946
642292,24442,16699
470018,30125,21231
482269,42271,6176
508577,1785,10512
584459,48786,10433
550268,48924,20475
519983,33762,18746
456563,51378,23174
516810,14191,22269
489342,37759,18179
617467,47487,32378
441341,41639,27000
504962,30410,17523
293895,4809,85
507530,31780,5841
452969,41817,15902
395333,8221,15975
449236,28757,20327
543957,19444,5730
760974,52380,26601
447163,8002,9174
523311,42469,19588
560381,40825,21003
463969,19914,11365
477578,26140,8730
432717,10436,19773
643472,19213,6814
605101,41272,20423
452097,20438,14522
606025,40760,24705
530830,44094,31810
675534,77662,41181
546511,483,165
474492,10540,2201
362538,11343,9643
451068,26055,14868
479558,12821,4506
646852,32177,14346
512114,67240,22165
449481,21729,10570
647176,25688,11605
457507,35660,12445
789311,52813,67525
517757,27841,20628
425352,12741,5124
660122,51642,21621
407143,9482,14658
641831,49876,24078
485587,37452,48348
594437,37649,21423
692311,62821,29243
619907,37832,15066
452083,50786,33249
528321,1336,111
541928,36983,21236
758833,56772,37588
591675,22825,9155
673002,48648,23710
493230,41721,16372
513433,20206,12267
574460,33747,11900
578370,57775,21973
428309,11432,5367
567032,31109,14771
506741,10383,5920
577674,35366,10942
466071,40207,22669
498803,28939,16794
514505,28730,18848
534847,66835,23714
572358,20504,12333
598961,50573,19575
415444,25838,13351
561885,13303,6579
409422,11353,3801
573848,25700,8367
601336,27457,14996
649973,86207,56633
495092,55883,39217
581214,88172,40920
443038,35235,24834
370242,25080,20354
639690,25539,13497
479998,23159,20499
456529,15059,7193
535568,1604,9892
632348,16971,7521
335714,4007,1410
582646,14781,6759
342706,35536,27907
633685,23410,11025
598209,58428,28295
683844,68316,18034
598206,27938,9593
554432,7166,5214
547163,53634,46982
563489,40071,32011
591442,28409,9516
501891,49375,18805
529050,42942,23462
508938,19987,17668
572363,40974,30865
402385,31209,15085
412474,50075,23503
498004,56527,24408
623366,26079,15552
583918,23876,13953
440985,28516,11266
406994,13831,257
595752,65222,43911
459398,40527,18492
557328,34401,24243
550213,20388,6761
570153,35977,15849
509914,38175,11707
462303,33143,16347
604162,28304,10847
348056,5604,218
510130,23313,15178
629768,15249,3614
452022,34019,16710
396746,33678,23026
530309,62415,34156
383495,33755,14475
413185,58159,27657
564711,15309,6374
494559,33086,13745
576045,22331,11703
542950,45141,20088
581543,21933,8769
431466,38413,18024
611886,11413,3015
530188,8374,5805
404242,31972,11725
490165,45804,29945
475408,23083,9482
493453,22736,11440
526885,67976,17888
629898,20068,5129
500234,31750,21968
613220,18015,7185
558865,752,1455
586657,6283,18837
461983,24291,11630
555598,32186,11993
492491,1903,12312
653592,52737,38222
517988,8122,4407
494292,32913,10045
532332,43398,20840
521551,26576,14637
522623,43014,29981
614963,89323,31076
518450,50723,48539
525602,9875,12992
465523,8786,27866
616817,73354,22911
608601,24751,11490
506083,17875,11759
650948,45843,5719
487635,38402,29653
400494,27341,19918
457197,32829,17590
565631,39059,18896
397846,36793,19491
412286,30393,24374
526253,38863,17639
510170,19282,8090
480432,15789,4752
642901,30513,10242
509007,24365,8226
424551,17010,7102
733015,16276,3365
443097,15391,18831
439406,31228,15998
558358,32286,18543
580033,45612,20058
691695,50167,48384
565146,41231,14532
461470,630,-46
565048,30872,29456
499183,42802,18271
393297,6157,5104
306595,29550,271
560248,41907,17745
385320,11590,4699
484867,37872,17403
569208,13965,8662
595273,25349,24498
598273,84231,33892
559833,39955,17460
402535,29522,18073
506688,49577,20898
441115,5391,2265
565720,48656,28497
423118,17631,8227
546646,35773,16352
503209,46566,16700
539596,25832,10913
500047,43301,13683
473455,37251,21885
454514,18712,8316
473933,18983,7115
519608,18666,8369
503871,36748,23471
636982,23918,9527
588391,20639,2349
469573,20743,13201
511832,30565,15971
531753,51039,21116
514049,25088,16203
690834,85255,36619
322736,15603,12801
517635,44422,23376
692636,28509,5968
725377,47232,29133
446336,174,21935
439963,44590,27582
481445,6334,3120
544369,24406,9986
505610,72172,21122
533077,27783,10286
436494,719,6596
527519,40564,26960
523836,54827,18532
500779,44214,23316
522900,20595,5904
354641,22315,12546
821522,71632,24423
448033,30844,21194
657584,73554,29581
593435,8813,5540
415505,30146,18125
437671,4415,1572
399240,4348,4910
486512,28053,17343
599084,38546,13575
464636,16586,10345
570739,51985,21434
420706,27984,12692
632160,51192,14113
487498,49003,18441
476850,17332,7223
553070,28677,11868
543699,25984,13902
502095,32497,13784
409039,40307,23737
472103,23991,18100
506016,44189,25874
532215,88748,41594
243877,12711,723
531514,22481,20349
679731,60035,28754
473026,74498,32664
493157,38170,26755
679110,60860,27211
496510,35657,20561
458642,22109,7900
486760,32424,17056
456967,26873,17077
486722,18034,5847
538052,42562,27664
551344,56439,22856
579436,38294,22539
540545,36840,17832
534906,45205,21007
461707,36494,25984
392393,33526,12880
490415,36709,20494
640202,111613,50568
372240,30670,18955
410767,25036,13104
492256,29829,12586
560524,29540,19213
630587,60715,21433
295579,40776,16033
507417,6913,1944
545686,50884,19889
620564,61162,36093
595471,6764,8203
518255,12066,5711
485493,31094,14056
565490,6720,15041
523636,38318,32016
437740,23406,10388
376968,4349,9003
674271,91499,30161
526158,29033,13023
444408,25872,17947
698207,24849,13203
512436,8883,4018
521142,18975,11783
409362,30528,28684
500232,21396,14461
257822,5777,1884
411308,37939,25391
561854,8346,8279
595112,60205,11583
537811,43741,26837
508035,29822,18081
490558,43475,15467
644911,68171,30458
490208,1295,19067
488192,45299,19468
501975,62192,22669
279229,4636,89
419944,32757,16264
475771,43979,17516
597716,8211,2999
463909,21203,11369
518264,31165,18822
529547,71035,24175
410189,43530,11982
524579,42719,21766
538860,43831,13511
588719,45952,25123
649461,64934,28065
579995,47845,26358
682128,47225,18645
472494,42363,16449
539525,5901,1344
553764,43360,28071
488075,39906,23533
597351,43079,42769
410174,22401,12558
477608,22651,18930
513429,24479,11201
468951,34510,10397
538135,50988,22608
447219,47267,19523
451048,17278,4435
489649,23415,9250
552902,72221,43544
545951,20123,12748
505520,33591,9547
415923,20892,4484
540766,22635,5051
712029,133794,57064
520214,36560,14270
448378,34318,15647
412544,17533,12051
668651,67652,23305
461194,25463,12872
476995,21104,14715
440644,26973,10595
595271,30180,12317
626452,963,385
561441,49680,24876
665080,65031,43771
542108,17656,10183
641750,95219,52300
512333,37107,25711
584600,21808,7176
351541,44797,26206
588663,26401,15445
511009,42768,10983
366614,49984,21338
470806,21220,8101
576834,21649,9717
522076,50361,23457
448053,38424,25463
512412,530,15525
521731,28734,7691
451630,25866,13104
580931,22763,16222
253178,16955,300
494983,25450,13694
464533,18167,20618
519501,33467,12917
541096,30628,12148
576317,54249,20282
515814,27608,12179
564361,55367,33973
335803,47915,26359
363244,8855,29337
550286,48844,14520
521496,26394,12807
550347,81552,38003
614638,53039,14601
567548,40252,20817
628177,61159,22896
556531,18210,4976
472308,40631,45797
575820,47683,28653
472609,19750,13862
460742,8312,6357
492668,23083,9501
440802,29085,11834
559873,21748,10305
557846,58734,28543
534920,31099,26541
635455,74484,26974
589203,47004,23931
411798,27263,19554
539895,45030,23155
560343,5583,6451
581417,32481,27311
465888,77454,38818
622626,23357,15879
399436,10677,116
586107,29294,17772
406459,34586,17929
459065,44060,16672
530091,42239,15179
483938,18703,12660
531898,43771,27752
681007,65456,30623
475353,34695,13320
592974,53770,29221
572774,35285,10798
721936,64835,47381
489652,39642,27732
521423,28092,15056
293754,5843,2981
507568,18565,10949
469700,8889,1540
574502,64151,55332
541744,35380,12690
591504,40978,12203
688053,25315,8648
586030,37209,14521
463912,16545,6154
516752,82320,78665
507567,2767,64
606587,12723,5501
433099,23874,17304
468044,28492,8505
420152,11660,9142
492744,22141,10383
546080,31253,13903
477712,24213,16594
582142,38445,16180
568251,61375,30183
531611,37163,34329
532295,13058,4689
503750,23600,26357
499501,8451,10485
546401,27185,20423
446198,26594,16983
506990,14515,9265
417402,3818,2237
501245,54986,20533
635834,57506,23468
421163,22388,14042
447055,25483,14698
570065,71212,33705
440861,60528,19827
244200,11326,264
426324,14962,442
543213,40946,26545
493470,17664,10807
314652,8651,60
571084,32280,14932
553796,49564,17490
444009,15401,9544
606557,11202,6533
604722,33333,11202
475093,17320,6282
428685,43064,18762
674646,12542,10625
424434,42806,20322
571310,58534,29227
524161,25569,13281
367954,19276,11642
494205,63200,24449
491816,78549,28571
446621,27320,11242
492102,1120,312
469789,42211,23766
602505,6853,8446
702550,45002,17991
491346,14716,10763
493386,57725,23194
578120,61323,35492
663340,32911,18919
488144,37268,22463
422746,17984,18231
500753,30216,16267
432153,28382,8640
536469,63389,25555
315265,-220,-65
502080,28606,11989
708679,35604,21251
434378,35317,21239
523186,6574,55
517803,19920,9439
507332,24704,11744
597954,58025,17808
563422,56784,24058
704202,51748,22967
610295,43784,32084
533624,17772,13939
517138,44030,20705
