"FSC-A","RL1-A","YL2-A"
425985,48674,31727
557515,37896,18953
433324,39774,10424
359194,45199,21348
826319,74370,62035
446795,46482,12943
350188,24080,17747
491172,40982,16287
565928,48575,9344
401135,80527,37280
354642,10212,5901
466400,31334,23926
569053,36189,16328
359542,10072,7
471659,12261,8761
587102,63596,18870
460308,24776,23237
389305,14164,7033
504594,52441,35628
479504,83954,45592
403408,14380,6497
784598,28724,9370
483958,45543,19466
473000,41625,50787
288219,37872,20663
520581,1475,45609
579327,44261,22802
385570,556,1675
389491,3472,-64
440209,19982,20589
371041,3719,1118
534405,50081,32131
495726,17484,27368
576702,16705,8655
536185,46312,27432
812274,61400,29391
467018,25787,8355
481014,59238,34887
472292,32762,39958
550006,89552,33505
531193,35605,15640
394116,30189,18720
613992,56422,38004
492045,37490,18246
602351,115043,44595
530859,29088,12615
554297,31539,19382
339758,29345,18227
459664,39579,19867
467876,1835,-115
394120,56153,27289
637321,80378,29241
529848,50204,34284
525906,71834,18109
574591,21824,17235
576280,71971,37362
414368,20393,11176
508069,76410,26103
595308,41718,15811
620020,15417,9800
427822,26891,10095
647752,56043,31468
449032,18639,10839
613183,18945,8339
508308,16063,8013
512745,69924,33198
623873,101747,38394
381959,48961,33669
548029,58773,26039
448078,42118,17768
448043,42256,20722
414585,16716,5593
530070,30469,13531
524878,38320,26681
233349,4628,4395
539195,44687,31437
510459,34845,18274
566084,24534,9144
409552,29075,21842
491793,40182,13068
439236,5217,18163
405369,42014,6054
602169,35813,11423
557327,39664,22543
676757,78955,57599
460581,36666,20272
443636,23089,9536
538428,45353,25133
553662,48717,29195
426449,25456,17772
488386,53563,23654
411165,27040,16289
670774,55624,27620
439994,27811,14987
464254,45225,12886
402669,41240,25660
524823,33935,15148
691304,100669,59031
572287,22849,17039
692912,42045,25573
552278,36272,10212
488846,29362,19260
416126,7133,3051
577390,62385,18567
447879,48390,23229
446639,42507,21758
450873,24670,15533
646309,35513,16785
497797,60358,28473
534902,41653,18808
439402,16670,9653
555140,27766,10041
364461,7367,5835
386681,15150,5765
540374,53015,20804
734410,1182,7456
589534,41136,26099
435202,9630,6755
517459,27074,13334
426326,40023,9484
285646,12346,6426
503838,19445,6732
631110,81058,20271
307128,34828,20841
373236,28525,15207
645742,19839,6669
624047,40008,26734
389184,53616,27339
557553,31512,14572
577409,35647,25529
530950,39449,23423
500393,46318,17964
565252,70759,19132
681152,61361,22941
487457,18204,9134
541997,63013,23134
504238,41212,21402
487174,37345,24552
537179,41376,12181
480911,22959,8708
378277,34738,17204
414813,51747,25680
332191,21845,10726
475476,44873,26231
378298,31335,31589
736799,53904,11942
464375,31521,16226
535060,40189,16624
563117,29772,14748
436776,42044,24016
333928,24976,13057
508021,9179,4970
531523,23198,19362
545840,42637,26180
478837,28400,22847
479341,15749,3165
505089,27915,5595
557049,33185,13510
482180,32324,16302
454036,25430,10959
402085,11884,3863
582537,32730,32258
489390,100310,35529
472621,349,20448
634126,33963,13875
346600,42461,27581
684404,86961,33231
486803,46967,23517
776602,23756,11972
400466,28685,12251
542021,58669,38084
511016,63644,42229
498989,48914,27336
287429,38450,26049
454789,46149,41543
461009,38736,20686
504475,20105,12736
574240,73492,28836
622495,31189,15041
578517,40646,22072
380371,12619,15750
426529,41287,27576
551230,56162,15589
680357,34203,24999
478996,3705,1729
848306,60847,30675
475298,3842,3911
386111,43161,23655
344341,47993,25368
521759,26677,20552
447578,24035,13657
528769,39534,16400
630771,38799,38196
549526,56896,36144
837128,57680,28932
568272,31531,23819
743706,41463,27590
503203,39484,28295
668738,14584,7418
491347,16017,5996
634440,72368,23559
583170,35251,12329
433614,28460,15105
440072,33245,16137
387162,16012,13887
568120,27734,18573
640886,112161,74770
491896,20198,8924
360279,24110,7318
530290,42180,21180
377914,47099,15763
620952,44041,37420
438696,15196,8543
562457,64864,23997
469408,30066,15019
485263,83435,38250
535857,309,-57
706788,61932,25448
648375,64095,27339
625738,25257,13033
582812,36963,11053
480327,14929,433
416102,18744,17017
534527,34163,9713
509680,38904,18634
474934,8033,7101
406005,17517,6463
563759,21359,10443
459909,93,-97
454274,30248,15230
553689,53810,25069
541499,52253,25980
543645,39252,18340
522428,41235,17480
549270,15325,8248
615973,45554,23148
788381,87563,34054
377866,15821,11026
524465,22566,17609
534965,33062,21766
431807,29108,61282
574604,13353,12148
545128,12087,7889
459000,46696,23833
455451,17472,7723
598682,45194,26486
517274,46975,21447
676678,27923,8308
252360,17169,20188
624493,42433,20090
409164,24346,13278
698505,40946,18066
565343,7751,1241
318877,18438,12844
402937,35808,28812
553390,38617,10777
464555,48760,19435
457859,44803,16627
517211,26343,11639
538146,32894,15337
374611,38703,24809
543313,664,4521
499915,36663,14195
586304,19954,6799
475785,14085,3115
507947,36797,17415
500575,5199,14185
679140,20088,10657
588529,1150,1185
443350,46140,23352
558485,37145,12206
525113,17580,7236
577839,59012,24732
522838,58301,45034
669268,20735,9012
609736,56954,23761
418606,24830,12126
561737,73727,50333
477550,71088,30198
557323,23029,10265
610401,50051,32984
544586,5979,4374
455242,13939,7930
557983,43295,22911
434595,80258,52177
470680,5373,1691
537594,25151,12561
488330,92679,51963
425339,31506,22318
590127,62933,22543
276489,10289,6966
502599,38989,30976
590696,16682,4646
447467,29110,9641
373922,12206,4729
568750,27061,11776
520147,26393,12556
518317,1522,1341
488035,62481,23872
457676,24631,10677
401893,21011,15041
575555,31474,19051
580941,49862,21734
615439,21531,9968
508219,24263,5794
440124,34137,15494
545337,51409,39871
325170,59909,32415
526394,72488,9679
755341,73269,18849
608409,35187,16638
469239,24323,10757
211392,1762,15
555346,37664,22613
491609,43656,21881
374106,32642,10745
585670,47226,20212
659901,28337,12564
470210,21889,35384
582368,37917,21989
331860,11268,1098
504333,12069,3128
541289,24518,17800
540305,46422,14682
516963,11387,2781
437523,29536,34681
429402,20360,10070
641850,43648,17756
541554,50357,24938
595690,47179,20322
482389,30319,19071
636840,59885,80713
420786,44053,27323
736706,94842,45773
422929,31182,20730
623230,39480,15329
463212,16255,10650
589261,47419,20556
403788,3733,1515
514590,48473,19359
488390,13093,4451
556236,28239,7238
449978,36599,27295
516549,38845,21018
430702,32674,22785
842402,44270,1618
436260,14714,13725
610542,59312,22985
341046,21508,11159
465574,24602,9330
440501,21525,16023
513391,48534,12443
531822,16987,5019
416204,58026,22591
517355,49966,20938
464578,50816,25320
383222,54677,17227
442139,19234,15581
488720,48312,17398
464544,22036,9780
567041,72156,29525
538995,8159,2224
524541,25003,13302
608317,55614,30310
391582,39037,25650
439687,19190,12149
647460,43898,22636
544748,37443,15124
568179,56473,26657
512053,65181,45969
302813,21999,11279
371734,32940,32195
587240,58249,30589
487939,41358,31246
604488,18434,2089
335653,36547,15073
448091,64737,15604
499106,20370,17544
492121,34004,13256
570173,26015,9878
413167,17254,12870
414229,15395,9760
483389,46363,12923
377304,30361,9247
620290,37236,17233
462166,22872,10751
481808,43007,13444
511936,49254,16860
387050,24726,14418
411212,18559,10255
354785,40364,15439
450266,25606,26650
305541,13100,5445
404360,11254,4401
488158,31808,13951
394415,22809,14433
461809,4342,1933
449798,57903,26776
580063,51584,26711
543398,26645,17972
558795,30895,13121
591264,31959,16820
499325,26252,17121
382085,47276,27873
619775,38840,17513
319483,15079,11366
447571,4399,846
472958,75097,37357
377565,14114,4086
478684,10789,4147
288737,7257,81
548853,43171,19564
411108,30689,23249
468571,29979,15083
555094,20953,9237
613625,49826,19612
580270,54892,27614
598735,16004,41534
476208,30440,13434
379979,11570,6958
706923,118771,68842
637672,30436,11136
593825,52685,18214
434457,29818,11224
473078,52787,18700
588761,59754,26980
383560,2600,883
716439,12588,8838
377519,10183,2336
395980,33876,22588
579406,54976,25487
402627,13549,6919
471278,30735,20351
408457,43526,21090
432328,36817,18459
509628,35880,14970
323742,20134,13627
429049,37398,56446
299178,5519,-85
545314,39879,10380
355244,29812,16422
608383,30414,21763
455234,30893,21164
359220,22468,19788
297430,15876,8374
577619,37192,15743
665332,39662,19179
539674,30881,12970
366524,16559,4887
451809,36919,15683
537130,41761,21061
540852,61989,23931
549648,36558,19275
384376,36110,14691
407049,8120,4271
322829,20308,4263
417388,71535,32398
603352,43378,47618
478545,155,9557
571288,49145,27100
540585,44217,16672
549808,75274,98161
491390,392,6807
483867,30002,9416
588122,28129,7942
759992,79674,37261
419044,36302,24552
534553,60914,28441
449919,63609,29134
518943,35115,12016
580460,24510,6535
486852,41315,11299
506358,32310,33321
575651,85573,71862
406769,33856,17203
633915,67467,33913
575180,58104,30622
383485,36864,22544
488253,36720,14259
641870,365,14565
379952,35779,20774
653221,29336,10061
462065,15480,14130
560729,45200,23247
558527,38454,14895
613664,39182,21186
824687,43725,14856
441079,44720,23368
503533,31439,19854
458245,35118,15484
576939,19213,9446
609179,60403,27394
564768,65472,24005
448791,29701,16178
440301,60332,18094
531733,63804,39867
439223,29585,14885
695572,59688,24387
541041,55451,21559
551263,31001,15932
399201,28883,11890
578473,48930,24455
475711,37224,18934
402518,35813,18941
748773,47985,21131
442277,19246,33726
422637,37227,23965
468580,45756,22967
638974,57066,35000
375374,37837,16631
668628,52742,23022
417310,69508,86229
534769,35787,14925
648078,33353,13265
457900,32353,22227
669761,33078,6868
609439,61454,30938
455854,37283,19479
588143,99590,77746
465404,8277,4943
556746,28091,10501
510627,47391,21994
453244,71321,30323
502510,6739,842
499549,49011,24480
463512,32408,12989
381256,697,1764
349040,16782,7323
579849,61401,34561
473612,3587,722
664734,63356,23210
786369,57694,28385
422761,39212,21002
629843,44371,22684
520153,40290,20640
458001,21676,7246
662334,63453,34151
461144,24592,21299
552413,34926,22662
491000,28224,21273
449044,23956,8668
377928,24764,10230
328827,14592,12119
623902,49932,18844
505968,44049,20859
435317,18080,4995
529463,22010,12861
441565,35046,12699
650297,66710,26490
492552,17583,10448
466094,29567,12191
442368,45264,16365
551106,4094,35
489708,37917,21140
465147,1684,-96
492858,31434,17294
508171,43327,17511
405819,48528,20634
678788,60897,28553
498775,40740,20250
422834,12208,4406
444788,8606,5213
516656,255,16971
516877,11957,5052
393401,13683,4753
734490,23772,7592
582310,34332,10765
465597,22688,9915
411581,26631,14079
629669,39161,32447
493113,11129,7990
519559,53207,35178
352105,37923,15009
545215,7344,3149
353218,16084,5560
655731,38899,19181
447772,28820,17735
452118,43810,15956
597984,33053,14764
376896,20379,11618
529220,37169,13827
403913,40495,16704
498203,5504,7695
553208,37696,22547
669227,95658,21171
623800,44439,21053
249947,15601,45
606776,33425,6422
441047,23281,14711
489572,23038,16357
676335,18372,6440
620560,105512,40423
441228,28653,18934
541456,32968,25471
474092,51097,40708
536872,23332,9115
458454,55618,19740
410963,29761,10498
701332,50158,19156
385336,21822,8691
407621,6648,1671
571815,29350,13693
415426,32503,13360
554208,25622,13653
467590,34193,9942
592717,43704,16646
481571,34791,16782
434145,67595,28737
456860,22957,14467
633758,48572,17179
494969,54322,33168
488910,55192,17318
471767,24127,8283
344111,64654,30796
573209,39327,21890
436478,34844,13471
247026,19569,299
547588,53276,15133
485606,27808,14802
476235,29857,11449
450606,34048,19083
713194,19072,11850
523551,15319,7204
587099,40436,15501
520869,39449,18677
597667,27277,18102
558734,59225,31765
476460,25838,13921
510862,36576,15663
676714,34268,12212
455164,38471,19795
535526,85737,33164
512223,30467,15121
491201,26140,15409
534130,62710,36299
578784,62761,37625
345040,28959,10380
455413,29612,11813
467721,39559,20196
380052,17463,6542
324017,13766,10207
358594,74610,30324
338843,13249,14959
432101,48749,17014
529258,21480,22963
476193,35097,12251
506877,23072,16580
347962,2431,1275
549143,31583,26273
280118,23583,145
543201,23761,49450
409145,18332,5643
416486,10998,3513
601804,52277,28402
460582,2606,-98
460795,19483,5451
610731,36401,16448
520112,55897,19327
425191,23618,8706
435624,22921,7889
376932,38479,21419
414799,7892,185
410489,53031,21608
663373,56821,34293
499809,33668,21659
513575,39051,13919
440354,42599,14897
702765,69016,37374
589030,4451,6043
491652,32703,12049
507008,23925,12987
474233,46458,19092
595041,61332,41239
459572,61731,16289
475266,50274,26873
274965,22870,14325
302865,25506,12722
536271,23041,25838
545487,45762,22346
405123,13953,4285
465690,27347,12253
292817,35404,16907
524260,26583,16812
328094,-176,-152
462421,56883,24962
470945,61962,24523
500384,2098,994
383950,26000,12665
445683,26903,13697
414653,22153,17600
476412,67484,31275
562439,26504,15123
675534,48705,27154
769520,14338,3486
418030,42221,14160
494261,34087,19497
578283,64170,31202
546286,73520,59156
500623,12905,8381
517851,53097,22056
627150,64751,15390
495103,22456,10666
451062,16481,14018
510401,36556,14324
414494,19728,9798
472928,22118,6758
533523,56746,36061
541597,52845,25940
506981,18051,4246
467961,15363,8148
378621,57094,33201
589922,86272,46261
255858,23262,5701
378032,29011,6406
342457,24700,13236
494112,14356,7465
440916,16765,9514
472297,38575,18984
297319,-283,4640
541637,59819,32077
491570,27294,24775
369977,13926,8968
558482,71989,43936
458709,21688,10990
679378,54413,23483
622090,51604,24548
566619,21073,20408
574221,61659,25866
410646,56054,20581
558666,60304,22102
453799,17612,9199
478339,44114,19348
442270,27981,11553
628578,57461,21166
460284,36153,23235
661957,20746,15578
475517,558,1906
445029,21175,12817
506911,28778,16737
639297,47121,32810
360900,29766,16927
371475,38375,15150
203642,15997,-28
457433,94901,67123
508216,28034,15958
576826,22216,9613
429797,42373,23277
613134,15240,5365
556073,25841,10788
459034,15534,6900
686064,40537,15247
409357,48082,20472
397237,33182,25180
478212,50403,21268
649567,27412,17304
730162,64658,34171
592112,31447,8406
468879,30210,13705
620315,25247,10877
664889,41323,22280
615638,46721,19713
533216,14627,2184
589291,44546,38850
646009,49468,25206
723523,16412,35348
425333,43352,19329
428544,17505,10392
384399,21792,5767
378839,21021,5626
473480,30956,16798
686107,79958,39654
421108,35673,23412
401754,27897,14867
426213,32413,23801
479251,55947,33256
547495,39655,21481
458116,49666,21244
374905,64632,30074
454536,31993,9614
488023,33999,11739
532807,27736,10950
418665,40476,24743
513210,45141,22843
358758,26323,13290
511466,33744,22834
445914,47746,21175
562601,39138,13252
431757,34803,16949
396630,28247,13510
291669,27999,838
531108,57975,26076
541064,392,2008
315337,28034,13497
546833,38812,29037
385375,32110,20028
591036,24481,8433
535095,3131,242
326296,16498,6900
483411,48280,21127
335242,11482,5233
540220,43062,17786
710485,18244,8216
435961,23407,13342
410261,23997,6982
467380,30389,17599
641228,4148,9346
605934,42225,23010
394632,21360,11330
333477,32564,14472
425446,35790,13440
409651,13318,4588
530360,83136,32354
668888,57923,22365
523477,49965,24706
366332,43396,16336
363040,18649,9718
433895,31609,21794
456808,30559,14435
436632,13306,7073
509059,29453,12610
388807,20805,10040
465668,72504,42139
540866,56967,30979
429190,17699,8141
500020,67210,27060
476893,17824,30910
533388,52286,20815
524252,21858,11350
668345,50524,18353
495085,49879,25329
494805,17753,11389
430967,34441,13725
320255,6997,5595
443369,609,1534
360947,22900,10563
439194,34157,12851
525077,23384,15765
550591,74474,21929
531368,39207,14126
546120,36528,16487
381224,476,-43
467749,30532,7967
385362,47743,14912
510876,29247,11036
445808,17471,8868
689693,82668,27955
429921,13152,11004
512611,45588,19894
520702,69150,32715
580487,47885,12298
607652,44927,22080
325196,44894,12877
536366,56769,17693
331343,27490,302
380395,27809,12898
447086,22060,12230
561911,17950,12831
550910,48060,20786
381552,52821,25829
470478,54867,27352
468459,34715,11589
509118,18386,5017
524263,2150,7896
539866,26962,10704
396577,16278,8440
607163,28860,10742
563936,1001,-40
395389,913,2237
440552,34074,8555
474156,52303,25441
335048,38378,22289
434293,34747,28603
443465,31387,16667
475563,15970,9971
456551,67350,61938
648589,23550,13167
490887,37391,38158
425874,36322,20755
517738,31625,19777
516905,23363,13308
535009,11216,3068
474390,46988,23078
406967,26812,9975
444559,44884,21464
379177,283,2188
575725,41168,23493
367812,33376,13377
443517,36653,17110
502440,37916,19257
448473,42569,20395
479601,23025,8686
547794,60930,14370
459820,22325,24677
690927,58642,22097
515103,21345,10481
522033,12494,7532
481048,13994,12119
450330,27766,9870
503303,27566,19803
467283,19500,16068
638001,48122,25907
523585,2546,4573
480331,40381,10623
399681,13135,27004
556382,46822,16330
628667,40191,18598
441045,41431,27263
670516,35562,12929
593527,1537,144
368130,29022,22450
414995,17571,5733
496438,29283,12549
470532,41536,15497
504420,27236,13047
378551,19667,7528
506785,16724,12943
523544,41257,19645
551733,45893,18344
417913,49507,22788
518953,16317,10653
346591,16058,7173
562850,43188,20258
447899,16733,8017
589234,18087,6437
537637,28368,10923
620425,67929,28980
315608,6441,3560
527624,37307,33182
514351,44338,31162
426811,25690,12721
466442,3674,597
447524,51575,27461
513043,67934,24840
385884,27834,17653
492277,68922,36188
529382,53579,22654
268610,35841,1141
555048,45613,20288
387944,17004,9130
554968,25649,15163
610817,61244,24770
513772,26510,13444
490247,43784,18446
535918,61424,27482
432438,34775,13792
261751,7347,308
500302,32760,20361
465264,55724,23131
464558,36391,21585
505294,12266,5455
656978,72439,27590
481454,32683,11319
584298,56361,28416
580474,45917,16663
450540,52021,23598
242517,27551,282
520033,12141,21119
501843,43633,18167
458879,34924,21770
538398,30171,10903
454658,34144,14214
399088,68114,26880
372287,24919,10222
467032,39374,20137
523931,5921,-157
665876,54962,24519
449555,60935,46174
481543,54181,18210
531224,30600,14721
616804,7321,2904
459473,17412,2204
455029,48351,29884
621349,72329,21026
464469,15758,7768
518925,22121,13293
489755,19271,9489
508305,55328,28913
389335,10791,9000
595478,44138,30009
308650,15115,18715
411737,7337,3894
445589,46409,25450
509239,10959,46511
557837,57193,25257
547517,15654,6395
336098,3686,96
484506,45889,15941
434876,33404,23598
545725,17875,8227
565589,13981,5459
514223,28946,19620
417982,48998,23827
494367,54244,24490
495732,29485,10439
506109,34486,15927
434730,24878,16583
409642,30206,14493
463888,44631,20280
549927,39088,14618
525189,38804,22542
405773,43255,13798
645458,56859,27687
479879,21811,8025
498196,41423,16430
561757,74411,39460
507081,26478,17894
654548,78131,51139
409648,50016,26351
370185,25535,14366
439797,40142,23610
308300,11101,10676
592891,38348,23654
637615,44831,23128
562060,58055,31799
569967,39477,25556
491061,20574,15227
583842,18460,13116
598764,33794,20241
503792,16183,7323
482015,55735,20939
489877,45284,26619
411524,13134,3804
474860,35778,14616
349207,26755,60369
452688,7914,1785
468364,29075,13066
676054,56446,54564
526426,81929,124226
641020,52823,31656
484414,15988,7788
556784,54268,30930
542458,59614,25891
349245,12387,42
529160,33710,40765
436282,35286,19333
463335,37591,19522
624780,34547,13735
539639,41899,17281
589082,33518,11494
572581,46107,17841
383185,27210,16296
604117,75221,42075
528052,73463,45140
399443,15759,7202
553753,47754,18819
514320,26213,10986
604749,44097,33793
616369,21938,6804
508598,72922,23107
688740,16016,2954
450688,5473,888
395806,23635,13538
559902,66829,26409
523202,41572,25351
395684,7548,3466
622034,39212,8674
416912,21598,9412
467514,27824,11099
516117,49076,26626
604531,41323,20212
492625,13248,30453
430171,43791,25483
547564,56500,36008
621251,10846,2508
461516,47750,20865
489870,45531,7676
620058,26059,15773
502116,47698,36029
468184,40862,15905
527372,16928,7201
569360,5870,-37
438137,48478,26465
461367,35749,18959
413757,817,87
571755,18756,5646
580481,45549,13626
588947,30194,4487
424841,77399,21441
249728,32209,234
568367,43842,23541
458157,43240,18546
458662,18906,6465
494929,28913,16769
535382,36752,18647
649581,38233,12910
481011,18147,6648
519865,3732,901
424677,34550,26024
464044,50961,17491
425465,39913,13334
426139,36965,18568
606401,44288,14407
637592,44487,18189
496141,21945,8427
399928,32736,19271
687313,31390,9173
409685,26102,16429
560585,72252,31710
530848,31444,12779
473239,22580,8113
556156,49655,23992
501123,36271,18359
530823,13817,6541
508157,35643,24257
399679,20788,13893
626220,42820,19679
502827,29892,17057
489225,20474,10922
636900,42097,19205
324306,14547,12967
679515,24850,6424
665862,45595,14321
588202,26254,9606
516221,31450,13770
663123,83476,52438
541209,35597,13955
407637,49234,15585
568458,33301,19113
680296,121577,49890
722037,108542,49907
534534,43360,28347
440353,2636,1268
449290,49215,24927
384161,37486,13796
494143,22094,19438
566167,30622,14836
533668,82580,25258
446105,29994,23194
521148,36591,15029
561159,39253,14306
555983,53920,22421
498857,30675,15291
416548,6280,25116
659738,50788,25182
699492,43374,6943
490386,28741,21870
492048,45760,9335
506269,24507,10974
338804,91448,22262
637016,61227,26893
394860,34916,23417
466288,15193,8722
512316,72333,33088
508910,21176,30173
477535,45795,13674
440154,66998,28817
463456,66445,19284
393508,35747,18422
615272,35307,25170
435750,18704,11402
535474,77947,37955
579988,914,30
501545,46158,22070
551044,73638,35567
481889,9924,5659
500952,12440,2850
550582,36901,16057
638621,24323,23131
536313,10820,5861
470479,23478,17561
430681,36095,14075
622050,32690,11229
461017,16246,13122
492938,63991,31653
461055,48169,20165
489721,31395,18202
365798,40639,12290
543800,27669,14165
406919,5148,2473
482857,27614,8602
422985,16570,15960
458084,39604,16220
486585,43241,18053
522321,1225,-8
423142,19953,17264
318171,52295,42571
458443,4911,1102
478282,26327,11882
445379,20811,5370
618862,53723,17531
584821,11264,528
585213,47336,28213
329097,15167,6041
534877,23789,10346
395778,8467,3003
455469,3748,155
589718,38417,19392
414936,16776,11780
383910,22603,9115
388873,42722,66241
460333,25240,16683
567545,64148,21951
697581,58607,40051
321988,18599,6582
402300,11382,7616
453169,43169,26012
461361,12528,7146
557911,15949,9581
342283,28097,8796
551131,37934,13912
358372,40065,18530
425712,18651,6140
614833,36999,24318
638951,28250,13226
473881,16585,6412
565800,17685,6960
369591,33169,20115
478506,1662,4878
511919,3036,1419
587505,70929,43665
476324,26458,14104
458681,44460,22257
472087,45248,13126
563312,19738,4620
478196,57983,21965
791746,49547,7904
526573,32537,19628
479519,46543,23967
474744,9737,2894
522201,76393,62323
489631,39984,21515
429209,25934,13391
533780,319,49
380488,27247,18349
406839,18394,7669
568703,45477,16186
491864,36281,35392
500787,32347,15694
343359,27802,15397
482292,67704,26686
475356,17907,6961
429992,3748,1157
389923,35278,16724
480809,25524,11039
529673,90515,27313
540639,55589,24051
446378,10013,2158
368614,45169,20315
621775,34901,24875
572369,27887,13525
431709,26112,16432
337814,11726,2092
623418,40800,27595
468851,11944,4447
490119,29183,11280
842533,85036,49648
470651,26501,9167
551952,30123,13610
363955,21214,10750
552268,28606,12307
440216,35502,23091
370115,31552,17705
498398,20140,15895
449859,23785,12095
484060,22786,6309
498589,4261,478
402927,32314,20284
458483,40375,37497
541349,37247,10198
509639,21685,29838
544305,52832,21806
640738,65222,38856
478893,15209,8766
482109,29121,17795
542932,34358,12772
425950,49852,23153
578595,28200,9140
507874,41624,16934
544153,32258,9243
429676,45312,19887
560778,31354,17511
633105,63714,27686
510650,30795,13077
475489,46449,27638
456450,23505,12502
530084,63747,19407
663918,63116,36267
561428,71919,22965
556550,35471,10442
467180,32088,8020
510622,14538,20677
473093,27114,14265
441316,27693,9141
598112,27252,12856
541625,27138,24238
559444,41365,18571
384434,12035,6944
559083,102705,50916
334437,27620,19487
526718,27913,7974
546866,46162,18674
393088,35305,19691
346703,40373,37142
614535,29811,11442
361150,27530,13495
386999,2250,6540
397296,10070,2947
779187,21541,10625
435805,18344,4914
307433,10293,9761
423152,37918,22340
512843,22076,7971
452094,21723,9916
558208,14908,6554
579625,52803,25470
532326,43580,18140
430658,24474,5821
391234,18825,1569
530542,28946,12459
421432,26355,9411
545294,57758,28091
617153,71447,24103
403821,7042,3360
673186,15491,4575
391759,42856,27387
557459,42537,13607
569414,49765,23113
487053,51756,16764
559672,30755,12345
432882,48564,20636
431518,15206,17648
587868,38836,12053
728838,28451,19445
698626,58986,32576
515262,45855,21534
403472,25487,11042
419791,23166,13894
435789,47861,21947
387610,13773,5397
526859,3147,141
433731,29448,21629
420832,29738,23174
547202,37658,22917
523628,74487,36121
261621,9921,16581
476661,34441,16988
452015,23600,9573
662940,82569,38134
589999,7120,1177
579669,31485,10627
453897,31723,14400
684816,58365,29768
524738,25053,11505
719413,54764,21528
413159,16951,9223
399883,46265,23750
568321,27931,16701
452076,34904,18178
583261,43665,24844
330255,10677,2851
438630,32918,12391
426916,824,212
403242,33743,17222
410513,25265,20701
464432,13663,6623
550828,40522,18984
442152,18257,5526
654417,21166,10161
421621,30677,18017
623063,32654,17832
273948,18123,3518
648516,68674,18264
459717,15124,7426
643615,59655,34945
417800,38841,19540
541915,25308,9670
458208,2447,231
581522,78859,85755
605297,60735,40236
455072,13049,6428
673203,57428,23989
430001,30766,19909
457920,48764,24153
518903,68014,51129
698383,87755,62350
570170,37304,27309
594065,26785,15896
509782,15086,9271
389330,62550,41682
527908,35648,13670
408162,40832,17136
452113,31833,16411
545764,24594,18598
385039,8801,5117
412151,46641,23780
542538,10066,3100
475062,43526,24139
518214,18014,13182
743513,6500,6116
535677,36277,27131
637369,52698,34040
382344,21490,7665
473067,33517,25313
476362,16224,6584
658056,94422,41725
487766,42968,25366
510106,2317,199
483063,25968,10999
379918,28390,6551
525411,34918,27209
686916,44474,17329
466489,41058,31569
393566,29846,11081
633036,26360,9553
523026,38128,19517
487512,38214,16830
647300,49628,20583
586015,58051,46694
450053,32676,14545
541290,897,27519
530346,48975,16800
419282,35777,27249
364219,29606,13064
618083,19448,11114
475733,35101,18010
422418,33087,20013
536199,64936,37303
498951,44462,19086
621807,90268,38248
471486,21791,7269
525271,28874,18214
364443,26967,13508
508400,14468,4224
406462,23839,19648
596232,37054,14139
571722,21759,10180
465052,43074,36163
552495,47858,22850
614401,56790,26429
506784,40884,15952
552157,72299,40855
497623,53912,21205
503563,21028,12995
535513,37714,12978
445656,35887,20951
547297,26676,13080
576304,6934,5905
591184,48761,10139
438271,22967,8281
448175,28752,11729
590384,695,465
488053,36987,16398
557670,42485,18274
569223,48930,33392
341133,9571,-168
496368,21257,12116
470188,45316,17929
444179,34767,12970
620983,37190,36687
548453,47231,16986
532453,49656,27063
534469,56763,27639
358552,39415,595
586109,20054,6906
432773,49620,31391
645522,46310,16965
476671,32789,19525
487387,42328,26253
590841,54193,21064
471868,45801,20412
686742,68052,21967
455131,2351,735
472910,23470,30820
405557,67464,35047
648858,44791,35950
414446,13682,6734
518475,46680,13545
621427,30225,10119
536354,73002,32207
444680,38056,23634
562609,8770,1173
573807,34698,19126
492096,101838,52918
446925,27675,15000
529882,18093,14740
448398,17336,4876
602042,74727,28090
441932,20753,15824
377848,39610,18558
667039,49408,27175
450891,9264,5284
382042,31858,15215
568203,49586,23744
240298,30436,14198
558702,33805,16720
503332,7423,1744
421013,40899,37652
443900,34049,20669
819048,70647,22039
446082,43320,20507
451109,51460,20805
473584,38668,26721
445824,39211,21801
330278,35435,12344
527282,6557,1219
512076,53803,28239
670932,26996,9233
451713,26682,14312
448780,32882,16890
694096,12366,5368
525201,36556,8981
244446,1403,238
619295,37487,27527
479176,45684,17079
540364,48823,21938
402179,36866,26054
341229,2441,3120
423683,8459,2868
488802,25367,8503
317732,9999,8963
531502,32007,11266
420507,52904,22821
504325,69660,28204
512780,41561,17147
507462,38318,12796
492138,21423,9212
487557,25454,20965
413768,25713,14204
601345,27782,32249
599992,33554,26483
486736,43415,21354
690737,37114,28643
495983,37104,12166
515072,51589,29968
518413,57946,31063
312100,6975,-92
369736,26521,13050
497656,38912,22593
469614,19699,8442
394476,19517,11702
462478,46900,22058
273339,43285,27437
568472,50651,18877
504232,27209,10880
467890,22806,13295
487142,33064,19007
485717,17613,8555
444258,49112,29334
468169,18017,9469
533352,48520,18628
654285,64575,29452
419367,40652,18483
537334,53962,28708
593806,36686,13177
210357,3433,1925
426822,44496,17098
666428,28859,15311
488208,35446,15812
569972,10972,5943
469693,27515,14264
693989,33644,16901
409174,22355,14318
703377,59045,29843
485253,69213,30047
440236,33040,13741
446191,33543,14891
525467,40261,22916
624193,15460,4784
589972,48735,21332
508600,28308,20372
